FileFieldId	FileId	FieldName	DataType	Validation	SparkColType	ColumnLength	Mandatory
98	10000	CUSTOM_DATA_44	CHAR(4)	null	StringType()	4	FALSE
99	10000	CUSTOM_DATA_60	CHAR(6)	null	StringType()	6	FALSE
100	10000	CUSTOM_DATA_61	CHAR(6)	null	StringType()	6	FALSE
101	10000	CUSTOM_DATA_62	CHAR(6)	null	StringType()	6	FALSE
102	10000	CUSTOM_DATA_63	CHAR(6)	null	StringType()	6	FALSE
103	10000	CUSTOM_DATA_64	CHAR(6)	null	StringType()	6	FALSE
104	10000	CUSTOM_DATA_80	CHAR(8)	null	StringType()	8	FALSE
105	10000	CUSTOM_DATA_81	CHAR(8)	null	StringType()	8	FALSE
106	10000	OVERDRAFT_PROTECTION	CHAR(1)	null	StringType()	1	FALSE
107	10000	DUAL_TYPE_CODE	CHAR(1)	null	StringType()	1	FALSE
108	10000	TSYS_PRODUCT_CODE	CHAR(2)	null	StringType()	2	FALSE
109	10000	CLIENT_PRODUCT_CODE	CHAR(3)	null	StringType()	3	FALSE
110	10000	TS1_CREDIT_RATE_EQUIV	CHAR(2)	null	StringType()	2	FALSE
111	10000	TS1_CR_RATE_EQUIV_PREV	CHAR(2)	null	StringType()	2	FALSE
112	10000	STATE_PROVINCE_ORIGINAL	CHAR(3)	null	StringType()	3	FALSE
113	10000	BRANCH	CHAR(6)	null	StringType()	6	FALSE
114	10000	REGION_CODE	CHAR(3)	null	StringType()	3	FALSE
115	10000	ACQ_STRATEGY_CODE	CHAR(6)	null	StringType()	6	FALSE
116	10000	ACCOUNT_NUM_OTHER	CHAR(19)	null	StringType()	19	FALSE
117	10000	SECURITIZATION_POOL_ID1	CHAR(6)	null	StringType()	6	FALSE
118	10000	SECURITIZATION_POOL_ID2	CHAR(6)	null	StringType()	6	FALSE
119	10000	OPERATOR_REISSUE_ACTION	CHAR(6)	null	StringType()	6	FALSE
120	10000	OPER_OVR_CASH_LIMIT	CHAR(6)	null	StringType()	6	FALSE
121	10000	OFFICER_CODE	CHAR(6)	null	StringType()	6	FALSE
122	10000	PROFITABILITY_GRADE	CHAR(1)	null	StringType()	1	FALSE
123	10000	COLLATERAL_CODE	CHAR(6)	null	StringType()	6	FALSE
124	10000	COLL_LAST_WORK_OPER	CHAR(6)	null	StringType()	6	FALSE
125	10000	COLL_LAST_AC	CHAR(2)	null	StringType()	2	FALSE
126	10000	COLL_LAST_RS	CHAR(2)	null	StringType()	2	FALSE
127	10000	AUTO_PAYMENT_CODE	CHAR(2)	null	StringType()	2	FALSE
128	10000	AUTO_PAYMENT_USER_ACCT	CHAR(17)	null	StringType()	17	FALSE
129	10000	DISCLOSURE_GRP	CHAR(8)	null	StringType()	8	FALSE
130	10000	PREV_DISCLOSURE_GRP	CHAR(8)	null	StringType()	8	FALSE
131	10000	ALTERNATE_DISCLOSURE_GRP	CHAR(8)	null	StringType()	8	FALSE
132	10000	ALT_DISCLOSURE_STATUS	CHAR(1)	null	StringType()	1	FALSE
133	10000	PREV_ALT_DISCLOSURE_GRP	CHAR(8)	null	StringType()	8	FALSE
134	10000	ANNUAL_FEE_OVRIDE_REASON	CHAR(2)	null	StringType()	2	FALSE
135	10000	LAST_LETTER_REQID	CHAR(6)	null	StringType()	6	FALSE
136	10000	EXPIRATION_ACCT_ACTV	CHAR(1)	null	StringType()	1	FALSE
137	10000	EXP_ACCT_PRIOR_ACTV	CHAR(1)	null	StringType()	1	FALSE
138	10000	ACTION_LAST_LIMIT_REVIEW	CHAR(1)	null	StringType()	1	FALSE
139	10000	LAST_TYPE_CHECK_ORDER	CHAR(1)	null	StringType()	1	FALSE
140	10000	LAST_NOTICE_REQID	CHAR(6)	null	StringType()	6	FALSE
141	10000	PROMO_SOLICIT_CODE	CHAR(15)	null	StringType()	15	FALSE
142	10000	SOLICITATION_RECORD_ID	CHAR(15)	null	StringType()	15	FALSE
143	10000	CLCHG_STATUS	CHAR(1)	null	StringType()	1	FALSE
144	10000	CLCHG_TYPE	CHAR(1)	null	StringType()	1	FALSE
145	10000	STMT_MESSAGE1	CHAR(5)	null	StringType()	5	FALSE
146	10000	STMT_MESSAGE2	CHAR(5)	null	StringType()	5	FALSE
147	10000	STMT_MESSAGE3	CHAR(5)	null	StringType()	5	FALSE
148	10000	TRIAD_STMT_MSG1	CHAR(5)	null	StringType()	5	FALSE
149	10000	TRIAD_STMT_MSG2	CHAR(5)	null	StringType()	5	FALSE
150	10000	TRIAD_STMT_MSG3	CHAR(5)	null	StringType()	5	FALSE
151	10000	ACCT_RETENTION_STRAT	CHAR(6)	null	StringType()	6	FALSE
152	10000	AUTH_EVAL_RESPONSE	CHAR(1)	null	StringType()	1	FALSE
153	10000	REISSUE_SCHEDULE_OVERRIDE	CHAR(1)	null	StringType()	1	FALSE
154	10000	REISSUE_OVERRIDE_OPERATOR	CHAR(6)	null	StringType()	6	FALSE
155	10000	REISSUE_ACTION1	CHAR(2)	null	StringType()	2	FALSE
156	10000	REISSUE_ACTION2	CHAR(2)	null	StringType()	2	FALSE
157	10000	REISSUE_ACTION3	CHAR(2)	null	StringType()	2	FALSE
158	10000	REISSUE_ACTION4	CHAR(2)	null	StringType()	2	FALSE
159	10000	REISSUE_STAGE	CHAR(2)	null	StringType()	2	FALSE
160	10000	ANN_FEE_PRENOTE	CHAR(1)	null	StringType()	1	FALSE
161	10000	BANKCARD_DEPOSIT_ACCT_IND	CHAR(1)	null	StringType()	1	FALSE
162	10000	STATC_CLIENT_DEFINED	CHAR(2)	null	StringType()	2	FALSE
163	10000	OPERATOR_ID_MAINT_LIMIT	CHAR(6)	null	StringType()	6	FALSE
164	10000	OD_PROTECT_COAP_CHK1	CHAR(1)	null	StringType()	1	FALSE
165	10000	OD_PROTECT_COAP_CHK2	CHAR(1)	null	StringType()	1	FALSE
166	10000	OD_PROTECT_COAP_CHK3	CHAR(1)	null	StringType()	1	FALSE
167	10000	OD_PROTECT_PRIM_CHK1	CHAR(1)	null	StringType()	1	FALSE
168	10000	OD_PROTECT_PRIM_CHK2	CHAR(1)	null	StringType()	1	FALSE
169	10000	OD_PROTECT_PRIM_CHK3	CHAR(1)	null	StringType()	1	FALSE
170	10000	ACCT_TRANSFER_INPROGRESS	CHAR(1)	null	StringType()	1	FALSE
171	10000	ICS_OPTION_ID	DECIMAL(2,0)	null	IntegerType()	2	FALSE
172	10000	OPT_SET_PROFIT_GRADE	CHAR(3)	null	StringType()	3	FALSE
173	10000	OPT_SET_CRV	DECIMAL(2,0)	null	IntegerType()	2	FALSE
174	10000	OPT_SET_TRAN_REBATE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
175	10000	OPT_SET_TRIAD_RASCOLL	DECIMAL(5,0)	null	IntegerType()	5	FALSE
176	10000	OPT_SET_COLLECTION	DECIMAL(3,0)	null	IntegerType()	3	FALSE
177	10000	OPT_SET_CB_REPORT	DECIMAL(3,0)	null	IntegerType()	3	FALSE
178	10000	OPT_SET_CIT	DECIMAL(4,0)	null	IntegerType()	4	FALSE
179	10000	OPT_SET_MIN_PAYMENT	DECIMAL(4,0)	null	IntegerType()	4	FALSE
180	10000	OPT_SET_DISPUTE	DECIMAL(2,0)	null	IntegerType()	2	FALSE
181	10000	POTENTIAL_EXCP_STATUS	CHAR(2)	null	StringType()	2	FALSE
182	10000	POTENTIAL_EXCP_REASON	CHAR(2)	null	StringType()	2	FALSE
183	10000	OPT_SET_ACCT_WORK	DECIMAL(2,0)	null	IntegerType()	2	FALSE
184	10000	OPT_SET_CONVENIENCE_CK	DECIMAL(2,0)	null	IntegerType()	2	FALSE
185	10000	OPT_SET_SMALL_BAL_WRITEOF	DECIMAL(2,0)	null	IntegerType()	2	FALSE
186	10000	OPT_SET_CREDIT_BAL_REFUND	DECIMAL(2,0)	null	IntegerType()	2	FALSE
187	10000	OPT_SET_SKIP_A_PAY	DECIMAL(3,0)	null	IntegerType()	3	FALSE
188	10000	OPT_SET_MISC	DECIMAL(3,0)	null	IntegerType()	3	FALSE
189	10000	OPT_SET_CHARGEOFF	DECIMAL(3,0)	null	IntegerType()	3	FALSE
190	10000	BANKRUPTCY_TYPE	DECIMAL(2,0)	null	IntegerType()	2	FALSE
191	10000	OPT_SET_PROFITABILITY	CHAR(3)	null	StringType()	3	FALSE
192	10000	OPT_SET_CYCLE_ASSIGN	DECIMAL(2,0)	null	IntegerType()	2	FALSE
193	10000	OPT_SET_CREDIT_LINE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
194	10000	OPT_SET_ORIG_ACE	DECIMAL(5,0)	null	IntegerType()	5	FALSE
195	10000	OPT_SET_REISSUE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
196	10000	OPT_SET_AUTH	DECIMAL(3,0)	null	IntegerType()	3	FALSE
197	10000	OPT_SET_ANN_FEE_REBATE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
198	10000	OPT_SET_CLOSE	DECIMAL(2,0)	null	IntegerType()	2	FALSE
199	10000	OPT_SET_POTENTIAL_PURGE	DECIMAL(2,0)	null	IntegerType()	2	FALSE
200	10000	OPT_SET_SECURITY	DECIMAL(3,0)	null	IntegerType()	3	FALSE
201	10000	PROD_CHANGE_TODAY_IND	CHAR(1)	null	StringType()	1	FALSE
202	10000	TNDM_AUTH_PROCESS_TYPE	CHAR(2)	null	StringType()	2	FALSE
203	10000	OPT_SET_JOB_TITLE	DECIMAL(2,0)	null	IntegerType()	2	FALSE
204	10000	OPT_SET_ALERT_FILE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
205	10000	OPT_SET_STATC_AUTO_EFFECT	DECIMAL(2,0)	null	IntegerType()	2	FALSE
206	10000	OPTION_SET_AUTO_PAYMENT	DECIMAL(2,0)	null	IntegerType()	2	FALSE
207	10000	STATEMENT_OPT_SET	DECIMAL(4,0)	null	IntegerType()	4	FALSE
208	10000	STMT_INSERT_GROUP_ID	DECIMAL(3,0)	null	IntegerType()	3	FALSE
209	10000	NEXT_TRAN_REBATE_MONTH	DECIMAL(2,0)	null	IntegerType()	2	FALSE
210	10000	ADDRESS_CODE_CARD	DECIMAL(2,0)	null	IntegerType()	2	FALSE
211	10000	ADDRESS_CODE_STMT	DECIMAL(2,0)	null	IntegerType()	2	FALSE
212	10000	ADDRESS_CODE_GENL	DECIMAL(2,0)	null	IntegerType()	2	FALSE
213	10000	CARD_HOLD_CODE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
214	10000	STATEMENT_HOLD_CODE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
215	10000	LTR_NOT_HOLD_CODE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
216	10000	BILLING_CYCLE	DECIMAL(2,0)	null	IntegerType()	2	FALSE
